101,0.293246,1.941573,66.6667,81.6327,32.4324,0.071656,2.03e-05
102,0.290944,1.942217,66.6667,81.6327,32.4324,0.071784,1.85e-05
103,0.294198,1.942567,66.6667,81.6327,32.4324,0.071863,1.68e-05
104,0.289597,1.943151,66.8934,81.6327,32.4324,0.071847,1.52e-05
105,0.301292,1.943403,66.8934,81.6327,32.4324,0.071866,1.37e-05
106,0.298121,1.944043,66.8934,81.6327,32.4324,0.071842,1.23e-05
107,0.293323,1.944387,66.6667,81.6327,32.4324,0.071811,1.09e-05
108,0.294284,1.944274,66.6667,81.6327,32.4324,0.071847,9.70e-06
109,0.292052,1.944150,66.6667,81.6327,32.4324,0.071897,8.56e-06
110,0.293926,1.944174,66.6667,81.6327,32.4324,0.071912,7.51e-06
111,0.296444,1.944620,66.6667,81.6327,32.4324,0.071854,6.57e-06
112,0.291588,1.944779,66.6667,81.6327,32.4324,0.071838,5.72e-06
113,0.293531,1.944887,66.6667,81.6327,32.4324,0.071839,4.96e-06
114,0.288014,1.944977,66.6667,81.6327,32.4324,0.071884,4.31e-06
115,0.292827,1.945190,66.6667,81.6327,32.4324,0.071885,3.76e-06
116,0.288139,1.945362,66.6667,81.6327,32.4324,0.071862,3.31e-06
117,0.297569,1.945214,66.6667,81.6327,32.4324,0.071853,2.95e-06
118,0.288204,1.945201,66.6667,81.6327,32.4324,0.071836,2.70e-06
119,0.298659,1.945397,66.6667,81.6327,32.4324,0.071854,2.55e-06
120,0.292185,1.945385,66.6667,81.6327,32.4324,0.071857,2.50e-06
1,6.949482,6.318992,15.2850,32.6425,0.0000,0.0000,0.823813,2.50e-04
2,6.275150,6.309621,15.2850,32.6425,0.0000,0.0000,0.822465,2.50e-06
1,6.602421,5.905613,12.4277,35.5491,0.0000,0.0000,0.809324,2.50e-04
2,5.663458,5.892905,12.4277,35.2601,0.0000,0.0000,0.804777,2.50e-06
