Epoch,TrainLoss,ValMAE,LR
1,0.0854211,3.73582,0.0005
2,0.00472659,0,0.000499497
3,0.00332046,0,0.000497989
4,0.00268827,0,0.000495482
5,0.00235418,2.15061,0.000491987
6,0.00202093,0,0.000487519
7,0.00181477,0,0.000482095
8,0.00162377,0,0.000475737
9,0.00151118,0,0.000468473
10,0.00142107,1.5371,0.000460332
11,0.00136113,0,0.000451346
12,0.00128222,0,0.000441554
13,0.00127685,0,0.000430996
14,0.00127711,0,0.000419714
15,0.00125307,1.74207,0.000407755
16,0.00123624,0,0.000395169
17,0.00122343,0,0.000382006
18,0.00121705,0,0.000368322
19,0.00120502,0,0.000354172
20,0.00120179,1.57232,0.000339614
21,0.00117125,0,0.000324709
22,0.00112466,0,0.000309518
23,0.00109471,0,0.000294102
24,0.00108138,0,0.000278526
25,0.00106255,1.40225,0.000262853
26,0.00105236,0,0.000247147
27,0.00103856,0,0.000231474
28,0.00102944,0,0.000215898
29,0.00102365,0,0.000200482
30,0.00100199,1.34277,0.000185291
31,0.00100201,0,0.000170386
32,0.000992303,0,0.000155828
33,0.000983558,0,0.000141678
34,0.000970253,0,0.000127994
35,0.000971259,1.34262,0.000114831
36,0.000963217,0,0.000102245
37,0.000959435,0,9.02863e-05
38,0.000953855,0,7.90044e-05
39,0.000950005,0,6.84457e-05
40,0.000945797,1.31969,5.86537e-05
41,0.000940634,0,4.96684e-05
42,0.00093572,0,4.15269e-05
43,0.000933336,0,3.42626e-05
44,0.000931872,0,2.79054e-05
45,0.000930282,1.31276,2.24813e-05
46,0.000927882,0,1.80128e-05
47,0.000926263,0,1.4518e-05
48,0.000925126,0,1.20114e-05
49,0.00092361,0,1.05034e-05
50,0.000923147,1.30179,1e-05
