Epoch,Loss
1,0.275223
2,0.228508
3,0.188567
4,0.162809
5,0.147574
6,0.136662
7,0.130121
8,0.122706
9,0.118013
10,0.112602
11,0.1091
12,0.105224
13,0.100462
14,0.0976718
15,0.0950106
16,0.0925975
17,0.0916711
18,0.0895229
19,0.0870005
20,0.0852788
21,0.0834475
22,0.0842729
23,0.0819891
24,0.0808819
25,0.0796098
26,0.079162
27,0.0782681
28,0.0776487
29,0.0775429
30,0.0758385
31,0.0756308
32,0.0752702
33,0.0745745
34,0.0740219
35,0.0736731
36,0.0734945
37,0.0727635
38,0.0722081
39,0.0719032
40,0.0718657
41,0.0714798
42,0.0713271
43,0.0711806
44,0.0705857
45,0.0704605
46,0.0699836
47,0.0705012
48,0.0698374
49,0.0692413
50,0.0696009
51,0.0696894
52,0.0692846
53,0.0691812
54,0.0683579
55,0.0686049
56,0.0684172
57,0.068176
58,0.0681906
59,0.0678888
60,0.0679614
61,0.0677715
62,0.0677369
63,0.0676376
64,0.0672379
65,0.0672971
66,0.0670515
67,0.0672248
68,0.0667768
69,0.0668844
70,0.0665268
71,0.0667764
72,0.0664355
73,0.06718
74,0.0667033
75,0.0665262
76,0.0663843
77,0.066632
78,0.0665226
79,0.066447
80,0.0666482
81,0.0659446
82,0.0662983
83,0.0661304
84,0.0661617
85,0.0662027
86,0.0661525
87,0.0661291
88,0.0658007
89,0.0655063
90,0.0655106
91,0.0656434
92,0.0654751
93,0.0656329
94,0.0653355
95,0.0654897
96,0.0655961
97,0.0653805
98,0.065416
99,0.0657015
100,0.0654806
101,0.0655053
102,0.0652876
103,0.065132
104,0.0653808
105,0.064757
106,0.0651326
107,0.0652274
108,0.0650701
109,0.0646472
110,0.065208
111,0.0646458
112,0.0650612
113,0.0650619
114,0.0649228
115,0.0650467
116,0.0645499
117,0.0645258
118,0.0646211
119,0.0648964
120,0.0651189
121,0.0647775
122,0.0645863
123,0.0648818
124,0.0644939
125,0.0648915
126,0.0644935
127,0.065017
128,0.0648042
129,0.0648948
130,0.0648624
131,0.064462
132,0.064817
133,0.0645745
134,0.0645262
135,0.0644481
136,0.0647223
137,0.0644456
138,0.0646041
139,0.0643278
140,0.0649928
141,0.0647369
142,0.0645646
143,0.0647407
144,0.0645911
145,0.0646333
146,0.0645126
147,0.0645468
148,0.0644182
149,0.0641153
150,0.0646271
